"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"181","2017","4","Haryana","Jind","165.65","247.65","0.0","0.0","0.0","14.35","0.0","0.0","0.3","0.1","0.0","0.2","0.0","0.0","5.06","0.0","0.0","0.0","0.0","0.0","5.16","0.0","63.9","0.0","0.0","0.0","0.0","0.0","0.0"
"182","2017","4","Haryana","Mahendragarh / Narnaul","10.59","139.03","0.0","0.0","1.13","186.69","0.03","0.0","2.7","9.1","0.0","1.91","0.09","0.23","188.61","0.0","0.0","0.0","0.0","0.0","188.92","0.0","65.72","0.0","0.0","0.0","0.0","0.0","0.0"
"183","2017","4","Haryana","Ambala","170.6","194.2","0.0","0.0","0.0","1.1","5.2","0.0","0.1","0.1","0.0","0.7","0.0","0.0","5.3","0.0","0.0","0.0","0.0","0.0","7.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"184","2017","4","Haryana","Karnal","508.45","515.45","0.0","0.0","0.0","2.45","0.2","0.0","0.0","0.2","0.0","0.9","0.0","0.0","4.74","0.0","0.0","0.0","0.0","0.0","7.94","0.0","5.9","0.0","0.0","0.0","0.0","0.0","0.0"
"186","2017","4","Haryana","Rohtak","197.13","360.89","0.0","0.0","27.35","69.6","0.8","0.0","4.4","0.6","0.0","1.5","0.01","0.13","51.31","0.0","0.0","0.0","0.0","0.0","51.45","0.0","26.71","0.0","0.0","0.0","0.0","0.0","0.0"
"189","2017","12","Uttar Pradesh","Saharanpur","70.55","156.61","0.0","0.0","0.0","0.0","8.17","0.0","0.05","0.02","0.0","5.19","4.4","0.33","2.35","0.0","0.0","0.0","0.0","0.0","0.0","212.7","0.0","4.98","4.3","9.28","0.66","0.21","18.78"
"190","2017","12","Uttar Pradesh","Muzaffarnagar","32.93","135.26","0.0","0.0","0.0","0.0","0.12","0.0","0.19","0.14","0.06","2.28","0.0","0.02","5.43","0.0","0.0","0.0","0.0","0.0","0.0","239.18","0.05","0.0","0.0","0.0","1.83","0.06","0.0"
"191","2017","12","Uttar Pradesh","Meerut","52.41","219.37","0.0","0.0","0.0","8.4","1.76","0.0","2.01","0.01","5.51","4.56","0.0","0.0","11.33","0.0","0.0","0.02","0.0","0.0","0.0","257.45","0.02","0.0","0.0","0.0","9.09","0.32","0.0"
"192","2017","12","Uttar Pradesh","Buland Shahar","102.1","215.96","0.01","0.0","0.01","15.58","44.28","0.0","6.3","0.02","6.6","6.32","0.0","0.01","11.06","0.0","0.0","0.05","0.0","0.0","0.0","62.79","0.13","0.0","0.0","0.0","9.27","0.2","0.0"
"194","2017","12","Uttar Pradesh","Aligarh","107.56","306.2","0.01","0.0","0.01","135.34","21.94","0.0","7.87","0.06","10.43","8.78","0.03","0.1","34.85","0.0","0.0","0.01","0.05","0.0","0.0","7.87","1.98","0.0","0.0","0.0","69.67","0.12","0.0"
"195","2017","12","Uttar Pradesh","Mathura","46.13","200.42","0.02","0.0","0.02","37.59","0.15","0.0","3.87","0.03","1.28","2.17","0.0","0.34","45.27","0.0","0.0","0.0","0.0","0.0","0.0","0.52","1.62","0.0","0.0","0.0","11.85","0.01","0.0"
"196","2017","12","Uttar Pradesh","Agra","12.91","169.78","0.11","0.0","0.11","150.99","2.64","0.0","8.01","1.13","1.39","1.86","0.14","2.32","58.11","0.0","0.0","0.0","0.1","0.0","0.0","0.29","0.33","0.0","0.0","0.0","74.4","0.15","0.0"
"197","2017","12","Uttar Pradesh","Mainpuri","76.61","214.11","0.53","0.0","0.53","73.53","45.71","0.0","7.37","0.86","1.44","8.26","0.52","1.74","15.34","0.0","0.0","0.0","0.21","0.0","0.0","0.51","0.01","0.0","0.0","0.0","46.18","1.14","0.0"
"198","2017","12","Uttar Pradesh","Etah","28.79","229.73","0.05","0.0","0.05","88.82","56.52","0.0","10.59","0.26","4.16","9.9","0.75","0.79","24.07","0.0","0.0","0.0","0.01","0.0","0.0","7.2","0.0","0.0","0.0","0.0","10.1","0.81","0.0"
"199","2017","12","Uttar Pradesh","Bareilly","145.23","195.12","0.09","0.0","0.09","7.21","0.26","0.0","0.05","0.02","0.04","12.04","0.9","2.53","15.51","0.0","0.0","0.01","0.02","0.0","0.0","96.96","0.0","0.0","0.0","0.0","2.24","0.16","0.0"
"200","2017","12","Uttar Pradesh","Budaun","88.35","276.29","0.06","0.0","0.06","121.14","10.44","0.0","0.6","0.03","0.31","49.53","0.53","2.49","40.53","0.0","0.0","0.02","0.04","0.0","0.0","44.53","0.0","0.0","0.0","0.0","16.51","0.4","0.0"
"201","2017","12","Uttar Pradesh","Moradabad","140.63","300.44","0.1","0.0","0.1","50.76","5.64","0.0","0.38","0.0","0.81","14.18","0.0","0.54","12.41","0.0","0.0","0.01","0.0","0.0","0.0","142.64","0.0","0.0","0.0","0.0","10.13","0.31","0.0"
