"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"1","2017","14","Chhattisgarh","Durg","841.13","43.5","0.0","0.0","0.11","0.01","9.25","0.01","0.0","258.46","26.24","109.08","0.45","1.8","4.7","0.29","0.0","4.6","0.01","77.4","0.0","19.85","0.45","0.0","0.0","0.0","0.08","0.19","0.0"
"2","2017","14","Chhattisgarh","Bastar","660.36","1.24","0.0","0.0","1.49","0.0","41.94","6.3","0.0","1.39","1.64","40.68","0.06","2.7","2.82","0.0","0.0","0.4","0.08","0.02","0.0","0.72","0.0","0.0","0.0","0.0","0.19","0.2","0.0"
"3","2017","14","Chhattisgarh","Raipur","959.01","14.56","0.0","0.0","0.02","0.0","6.13","0.19","0.0","31.38","2.28","75.44","4.87","1.52","3.85","0.05","0.0","0.41","0.14","0.15","0.0","0.27","0.03","0.0","0.0","0.0","0.51","0.65","0.0"
"4","2017","14","Chhattisgarh","Bilaspur","727.94","15.8","0.0","0.0","0.66","0.02","7.61","0.0","0.18","39.08","7.14","90.31","2.38","2.54","4.44","0.11","0.0","1.63","0.3","13.94","0.0","7.57","0.0","0.0","0.0","0.0","0.6","0.79","0.0"
"5","2017","14","Chhattisgarh","Raigarh","411.12","3.91","0.0","0.0","0.1","0.03","6.29","0.24","0.0","1.16","6.77","41.72","10.18","2.72","4.95","0.01","0.0","0.97","0.7","0.0","0.0","0.43","0.0","0.0","0.0","0.0","2.91","0.5","0.0"
"6","2017","14","Chhattisgarh","Surguja","377.07","23.18","0.0","0.0","1.35","0.0","48.4","0.53","1.7","3.55","19.17","34.98","7.47","5.98","20.67","0.0","0.0","9.75","0.03","0.04","0.0","6.0","0.0","0.0","0.0","0.0","7.07","1.91","0.0"
"7","2017","6","Madhya Pradesh","Jabalpur","210.2","300.7","4.64","0.0","4.64","0.0","13.9","0.0","0.3","121.3","21.39","161.95","0.16","9.0","17.9","0.0","0.0","4.5","0.0","8.7","0.0","3.37","0.0","2.41","17.72","20.14","6.43","3.52","0.48"
"8","2017","6","Madhya Pradesh","Balaghat","220.21","55.56","0.0","0.0","0.0","0.0","10.04","0.0","0.3","61.0","8.7","46.47","0.03","2.0","20.37","0.3","0.01","20.86","0.0","0.01","0.0","3.7","0.0","0.19","3.17","3.36","0.95","0.45","0.16"
"9","2017","6","Madhya Pradesh","Chhindwara","34.01","181.0","14.0","0.0","14.0","0.0","263.5","0.0","0.0","66.0","38.9","21.4","16.44","2.5","3.5","0.0","0.0","1.5","0.0","28.0","0.0","11.0","47.6","8.64","20.72","29.36","8.56","3.59","0.49"
"10","2017","6","Madhya Pradesh","Narsinghpur","39.1","92.0","0.8","0.0","0.8","1.0","5.0","0.0","0.0","101.5","62.5","125.88","0.02","0.4","2.5","0.0","0.0","0.01","0.0","43.5","0.0","51.1","0.0","0.12","5.22","5.34","1.64","1.7","1.04"
"11","2017","6","Madhya Pradesh","Seoni / Shivani","133.13","200.72","0.5","0.0","0.5","0.0","99.7","0.0","0.0","40.0","13.7","42.61","5.22","0.0","1.4","0.0","0.0","6.5","0.0","31.0","0.0","0.0","0.0","0.44","5.48","5.93","1.34","0.74","0.27"
"12","2017","6","Madhya Pradesh","Mandla","215.1","90.0","4.4","0.0","4.4","0.0","47.5","0.0","0.0","28.8","18.9","108.78","0.0","1.3","34.0","0.0","0.0","10.17","0.0","12.2","0.0","2.81","0.0","0.09","2.39","2.49","0.32","0.55","0.01"
"13","2017","6","Madhya Pradesh","Sagar","5.06","278.0","7.0","0.0","7.0","0.0","3.6","0.0","1.0","183.0","12.6","217.57","0.47","1.06","3.51","0.0","0.0","1.82","0.24","216.2","0.0","0.49","0.0","0.04","12.15","12.19","5.5","9.5","8.3"
"14","2017","6","Madhya Pradesh","Damoh","75.73","81.6","3.1","0.0","3.1","0.0","5.08","0.0","0.1","185.75","36.2","168.21","1.65","2.5","3.5","0.0","0.0","1.11","0.0","66.5","0.0","0.6","0.0","0.06","1.91","1.97","1.59","3.63","0.09"
"15","2017","6","Madhya Pradesh","Tikamgarh","4.56","97.19","1.0","0.0","1.0","0.0","1.7","0.0","7.4","12.4","0.06","150.15","16.49","30.0","11.45","0.0","0.0","0.7","0.0","23.5","0.0","0.0","0.0","0.15","4.66","4.8","0.94","0.55","3.84"
"16","2017","6","Madhya Pradesh","Chhatarpur","6.33","175.31","7.0","0.0","7.0","0.01","1.1","0.0","15.9","49.99","8.0","141.76","14.02","97.5","11.94","0.0","0.0","6.38","0.0","30.8","0.0","0.12","0.0","0.21","9.1","9.32","0.28","0.3","8.54"
"17","2017","6","Madhya Pradesh","Panna","58.4","77.79","7.6","0.0","7.6","0.0","2.6","0.0","4.0","93.67","16.7","75.09","0.0","34.6","12.6","0.0","0.0","0.21","0.0","17.5","0.0","0.0","0.0","0.36","2.6","2.95","0.61","1.31","0.0"
"18","2017","6","Madhya Pradesh","Rewa","121.3","173.6","26.12","0.0","26.12","8.0","2.18","0.0","5.02","54.3","32.9","58.63","0.0","5.61","14.51","0.0","0.0","17.38","0.78","42.5","0.0","0.0","0.0","1.5","7.98","9.48","1.72","7.16","0.15"
"19","2017","6","Madhya Pradesh","Sidhi","113.95","101.8","23.51","0.0","23.51","32.5","38.1","0.0","18.13","66.6","46.2","36.56","0.0","30.5","18.85","0.0","0.0","17.18","0.0","2.1","0.0","0.0","0.0","0.22","5.51","5.73","6.61","3.19","0.0"
"20","2017","6","Madhya Pradesh","Satna","132.0","156.8","7.6","0.0","7.6","0.4","4.2","0.0","20.0","116.0","75.0","132.01","0.0","16.6","7.35","0.0","0.0","7.21","0.0","59.8","0.0","0.0","0.0","0.37","1.98","2.35","2.47","2.94","0.01"
"21","2017","6","Madhya Pradesh","Shahdol","240.33","87.27","2.9","0.0","2.9","0.01","38.82","0.0","2.18","45.5","39.75","61.99","0.8","17.1","23.46","0.0","0.0","14.58","0.0","19.3","0.0","0.01","0.0","0.21","5.96","6.16","2.48","1.99","0.0"
"22","2017","6","Madhya Pradesh","Gwalior","9.11","65.0","13.4","0.0","13.4","11.9","0.2","0.0","0.7","26.0","0.0","7.25","0.1","26.5","40.8","0.0","0.0","0.2","0.0","1.7","0.0","0.0","0.0","0.14","8.53","8.67","3.4","0.93","4.16"
"23","2017","6","Madhya Pradesh","Shivpuri","4.4","76.9","0.4","0.0","0.4","8.7","6.6","0.0","3.13","32.0","0.0","127.62","104.34","12.5","54.66","0.0","0.0","0.0","0.0","83.6","0.0","0.0","0.0","0.2","9.59","9.79","1.01","2.12","8.11"
"24","2017","6","Madhya Pradesh","Guna","5.71","255.81","1.0","0.0","1.0","7.6","33.12","0.0","0.8","164.6","0.0","228.17","1.4","2.8","15.5","0.0","0.0","0.05","0.0","323.3","0.0","0.0","0.0","0.04","2.91","2.94","0.85","1.89","7.85"
"25","2017","6","Madhya Pradesh","Datia","16.6","120.8","4.6","0.0","4.6","0.0","1.3","0.0","0.2","29.5","0.0","39.5","6.9","54.4","16.45","0.0","0.0","0.0","0.0","6.7","0.0","0.0","0.0","0.03","2.0","2.03","0.69","0.66","2.79"
"26","2017","6","Madhya Pradesh","Morena","21.4","183.0","6.6","0.0","6.6","148.5","3.32","0.0","2.26","38.93","20.61","36.46","0.4","29.4","162.7","0.0","0.0","11.73","0.0","40.2","0.0","0.07","0.0","0.15","5.35","5.5","4.1","0.75","4.21"
"27","2017","6","Madhya Pradesh","Bhind","3.0","110.4","11.3","0.0","11.3","61.9","0.0","0.0","4.37","25.0","2.73","36.8","0.0","35.6","167.87","0.0","0.0","3.82","0.0","0.5","0.0","0.0","0.0","0.01","1.74","1.74","1.56","0.71","4.39"
"28","2017","6","Madhya Pradesh","Indore","0.45","110.4","0.1","0.0","0.1","0.0","12.2","0.0","0.2","94.41","2.55","6.24","0.0","0.0","0.0","0.0","0.0","0.01","0.0","216.9","0.0","0.0","0.4","0.23","31.71","31.94","44.17","14.05","9.45"
"29","2017","6","Madhya Pradesh","Ratlam","0.0","110.4","0.16","0.0","0.16","0.0","55.5","0.0","0.29","91.4","4.8","22.4","0.46","0.3","9.3","0.0","0.0","2.93","0.0","205.0","0.0","0.0","29.4","1.1","8.93","10.03","0.24","7.29","16.86"
"30","2017","6","Madhya Pradesh","Ujjain","0.2","220.6","0.9","0.0","0.9","0.0","6.46","0.0","0.01","195.2","0.87","28.88","0.2","0.19","1.8","0.0","0.0","0.34","0.0","446.9","0.0","0.02","0.0","0.42","32.13","32.54","12.36","14.44","15.78"
"31","2017","6","Madhya Pradesh","Mandsaur","0.8","125.7","1.66","0.0","1.66","0.17","73.08","0.0","0.0","103.2","3.3","74.27","9.45","1.0","58.6","0.0","0.0","9.9","0.0","383.5","0.0","0.0","0.34","6.53","6.28","12.81","0.22","5.95","31.03"
"32","2017","6","Madhya Pradesh","Dewas","0.1","170.96","3.5","0.0","3.5","0.0","13.3","0.0","0.0","219.47","9.0","25.99","0.25","0.0","0.34","0.0","0.0","21.6","0.0","321.35","0.0","0.1","6.0","0.16","15.52","15.68","8.14","11.83","8.76"
"33","2017","6","Madhya Pradesh","Dhar","0.73","198.87","17.0","0.0","17.0","2.9","83.9","0.0","27.2","149.72","7.56","39.69","4.4","0.0","1.08","0.0","0.0","0.0","0.0","279.43","0.0","0.21","98.0","2.32","17.04","19.36","2.31","7.99","7.01"
"34","2017","6","Madhya Pradesh","Jhabua","13.63","85.0","10.1","0.0","10.1","17.04","115.22","0.0","4.5","37.1","8.6","76.34","14.84","1.1","0.05","0.0","3.29","0.04","0.0","80.1","0.0","0.0","34.0","0.08","3.89","3.98","0.07","0.94","3.98"
"35","2017","6","Madhya Pradesh","Khargone / West Nimar","1.76","185.6","51.9","0.0","51.9","8.91","124.79","0.0","5.95","123.78","20.55","30.53","12.92","0.3","0.11","0.62","2.73","0.42","0.0","97.9","0.0","2.62","282.0","3.84","14.39","18.23","0.33","5.77","3.01"
"36","2017","6","Madhya Pradesh","Khandwa / East Nimar","5.89","163.5","15.9","0.0","15.9","0.3","53.86","0.0","3.98","69.51","21.75","28.65","2.55","1.3","0.0","0.09","2.92","0.0","2.1","173.6","0.0","5.91","105.1","22.39","15.08","37.47","0.72","9.16","0.59"
"37","2017","6","Madhya Pradesh","Sehore","36.45","278.4","2.05","0.0","2.05","0.06","17.12","0.0","0.1","165.9","14.7","85.42","1.14","0.36","0.58","0.0","0.0","0.03","0.0","365.2","0.0","0.56","0.0","0.37","10.16","10.53","0.98","5.96","21.83"
"38","2017","6","Madhya Pradesh","Raisen","112.0","197.6","1.3","0.0","1.3","0.0","6.92","0.0","0.1","167.2","33.7","110.65","0.0","0.0","0.28","0.0","0.0","0.0","0.0","84.7","0.0","0.0","0.0","0.1","3.93","4.03","0.67","0.51","4.44"
"39","2017","6","Madhya Pradesh","Vidisha","10.5","263.0","4.6","0.0","4.6","0.0","6.62","0.0","0.2","207.04","7.3","253.72","0.07","0.04","0.4","0.0","0.0","0.02","0.0","277.48","0.0","0.06","0.0","0.61","4.23","4.84","0.79","0.8","5.25"
"40","2017","6","Madhya Pradesh","Betul","45.0","104.4","7.5","0.0","7.5","0.0","80.05","0.0","0.0","41.13","28.2","17.43","6.66","1.0","1.2","0.0","0.0","0.47","0.0","223.0","0.0","11.29","0.3","0.52","11.87","12.39","1.56","1.05","2.95"
"41","2017","6","Madhya Pradesh","Rajgarh","1.15","152.0","0.1","0.0","0.1","0.0","63.91","0.0","0.8","112.6","6.16","80.95","2.0","5.1","8.97","0.0","0.0","0.04","0.0","309.4","0.0","0.0","0.0","0.89","10.17","11.06","4.18","5.47","31.98"
"42","2017","6","Madhya Pradesh","Shajapur","0.05","125.8","1.8","0.0","1.8","0.04","22.42","0.0","0.0","136.4","5.1","75.37","0.64","1.0","14.1","0.0","0.0","0.29","0.0","349.99","0.0","0.0","0.0","3.14","23.4","26.54","5.92","10.51","27.14"
"43","2017","6","Madhya Pradesh","Hoshangabad","136.8","349.5","4.0","0.0","4.0","0.0","35.25","0.0","0.9","134.1","18.0","262.08","0.03","0.16","6.27","0.0","0.0","0.0","0.0","138.01","0.0","4.0","0.05","0.34","3.97","4.32","0.58","0.95","1.13"
"44","2017","1","Andhra Pradesh","Srikakulam","279.15","0.0","0.04","0.0","0.05","0.14","51.91","5.31","0.0","0.06","1.15","113.74","8.73","12.66","0.0","0.0","0.0","0.0","0.64","0.0","25.38","11.58","14.29","72.77","6.5","79.27","0.0","0.39","0.05"
"45","2017","1","Andhra Pradesh","Visakhapatnam","173.38","0.0","0.31","0.0","0.32","1.75","25.82","18.25","0.0","0.13","2.07","45.83","3.8","9.7","0.0","0.0","0.0","0.0","0.1","0.0","24.48","38.39","8.29","83.41","9.24","92.64","0.12","0.25","1.92"
"46","2017","1","Andhra Pradesh","East Godavari","386.54","0.0","0.16","1.7","1.86","0.06","11.8","0.29","0.0","1.81","2.31","41.2","0.16","2.53","0.0","0.0","0.0","0.0","0.11","0.0","19.99","10.32","16.36","70.96","16.18","87.14","0.0","0.05","1.85"
"47","2017","1","Andhra Pradesh","West Godavari","393.22","0.01","0.02","0.06","0.08","0.0","59.43","0.0","0.0","0.03","0.19","47.01","2.65","0.41","0.02","0.0","0.0","0.0","0.12","0.0","54.79","7.95","4.53","42.44","6.71","49.16","0.0","0.0","1.08"
"48","2017","1","Andhra Pradesh","Krishna","258.73","0.0","0.02","1.34","1.35","0.0","28.83","0.0","0.0","2.29","2.28","157.81","1.85","0.3","0.66","0.0","0.0","0.0","0.0","0.0","14.41","10.26","48.36","59.87","9.21","69.08","0.0","0.0","3.9"
"49","2017","1","Andhra Pradesh","Guntur","224.27","0.0","0.35","39.7","40.06","9.54","66.4","0.72","0.0","81.56","68.23","95.97","5.88","4.8","0.09","0.0","1.81","0.0","0.18","0.01","12.77","0.33","200.1","22.37","14.98","37.35","0.0","0.22","23.35"
"50","2017","1","Andhra Pradesh","S.P.S. Nellore","242.52","0.0","0.24","5.06","5.3","8.61","7.69","0.39","0.0","50.97","34.12","28.44","13.69","3.47","0.0","0.0","0.86","0.0","0.49","0.0","19.59","1.05","18.34","40.46","5.64","46.09","0.0","0.08","6.45"
"51","2017","1","Andhra Pradesh","Kurnool","109.67","0.02","6.04","49.28","55.32","11.05","55.51","0.12","0.0","211.99","79.38","30.96","100.79","2.07","2.22","0.02","13.21","0.0","1.64","0.34","120.29","0.49","264.92","12.52","26.34","38.86","0.0","17.05","2.74"
"52","2017","1","Andhra Pradesh","Ananthapur","30.91","0.01","18.36","4.55","22.91","5.29","23.27","2.46","0.0","74.4","72.81","14.15","423.12","0.01","0.0","0.0","15.16","0.0","1.95","0.03","440.3","0.09","45.55","59.07","22.77","81.84","0.01","1.75","7.89"
"53","2017","1","Andhra Pradesh","Kadapa YSR","54.98","0.01","3.97","8.28","12.25","9.82","3.37","0.18","0.0","97.14","8.96","8.55","44.37","3.38","0.0","0.0","0.68","0.22","3.28","0.0","52.01","0.28","24.8","71.46","15.58","87.04","0.0","4.36","1.13"
"54","2017","1","Andhra Pradesh","Chittoor","64.81","0.0","0.16","0.02","0.18","2.1","2.5","6.73","0.0","0.0","8.01","23.94","129.53","0.41","0.0","0.0","0.09","0.01","0.63","0.0","130.69","18.18","0.5","82.79","27.47","110.26","1.32","0.56","15.74"
"55","2017","20","Telangana","Hyderabad","50.34","0.12","8.91","1.97","10.88","0.07","76.66","0.08","0.0","5.36","56.82","12.14","5.46","0.06","0.0","0.35","1.11","0.0","0.2","0.95","0.0","1.66","121.8","9.78","18.18","27.97","0.49","1.9","4.41"
"56","2017","20","Telangana","Nizamabad","267.21","0.54","0.15","3.54","3.69","4.75","71.49","0.0","0.0","30.43","7.23","13.4","0.38","3.88","0.0","1.36","0.0","0.0","0.23","73.72","0.0","4.72","19.21","1.65","3.63","5.29","0.0","1.49","19.76"
"57","2017","20","Telangana","Medak","180.79","0.72","5.66","3.9","9.56","0.1","102.9","0.0","0.0","10.76","30.83","29.33","1.12","0.06","0.0","1.48","0.1","0.0","2.2","16.25","0.0","17.37","180.0","1.31","3.95","5.26","1.5","2.99","0.1"
"58","2017","20","Telangana","Mahabubnagar","170.82","0.02","21.9","3.4","25.3","0.65","138.08","1.38","0.0","20.03","142.96","13.99","119.95","0.39","0.0","0.17","26.73","0.0","0.45","0.26","0.0","4.84","275.05","7.53","4.74","12.27","0.12","5.3","1.34"
"59","2017","20","Telangana","Nalgonda","415.25","0.0","1.67","0.4","2.07","0.14","1.72","0.0","0.0","0.28","26.86","21.26","12.79","0.12","0.0","0.0","0.08","0.0","0.0","0.01","0.0","1.62","351.28","26.64","3.66","30.3","0.0","0.0","1.98"
"60","2017","20","Telangana","Warangal","269.29","0.0","0.04","1.31","1.35","0.01","103.07","0.0","0.0","1.97","9.17","18.37","17.92","0.34","0.0","0.0","0.01","0.0","0.26","0.06","0.0","0.21","290.51","5.26","4.34","9.61","0.04","0.7","0.0"
"61","2017","20","Telangana","Khammam","161.32","0.0","0.01","0.59","0.6","0.0","40.99","0.0","0.0","0.02","4.8","16.2","4.76","0.25","0.0","0.0","0.0","0.0","0.02","0.02","0.0","5.06","143.17","16.55","2.09","18.64","0.0","0.03","0.26"
"62","2017","20","Telangana","Karimnagar","353.68","0.0","0.0","0.24","0.24","1.91","65.36","0.0","0.0","1.27","4.68","6.23","3.23","7.08","0.0","0.0","0.03","0.0","0.26","2.69","0.0","0.3","174.97","2.73","1.32","4.05","0.04","0.6","0.0"
"63","2017","20","Telangana","Adilabad","93.67","2.76","4.79","8.82","13.61","1.14","30.18","0.0","0.0","27.34","47.01","12.68","1.46","4.12","0.0","0.5","0.1","0.0","0.02","58.33","0.0","0.0","340.98","0.35","3.59","3.94","0.0","0.68","0.31"
"64","2017","5","Karnataka","Bangalore","5.24","0.0","0.0","0.0","0.0","0.09","12.76","125.46","0.0","0.14","5.32","20.13","1.71","2.34","0.62","0.0","2.27","0.0","0.01","0.0","0.0","0.22","0.0","37.3","10.68","47.99","0.5","0.09","7.41"
"65","2017","5","Karnataka","Kolar","1.69","0.0","0.0","0.0","0.0","0.11","59.61","115.08","0.0","0.09","13.02","27.66","24.17","0.07","0.45","0.0","0.36","0.0","0.11","0.0","0.0","0.0","0.04","70.44","24.83","95.26","4.75","1.47","2.79"
"66","2017","5","Karnataka","Tumkur","4.86","0.02","0.0","0.0","0.0","0.02","20.12","144.55","0.0","0.35","10.96","40.69","55.3","0.33","0.32","0.0","1.52","0.23","0.1","0.0","0.0","0.92","0.74","27.46","4.61","32.07","0.01","0.57","19.84"
"67","2017","5","Karnataka","Mysore","68.14","0.0","29.25","0.29","29.54","1.7","78.6","76.14","0.0","3.1","2.81","165.91","8.78","7.91","0.0","0.0","1.34","0.0","8.59","0.0","0.0","10.94","58.04","19.66","18.93","38.59","0.41","4.9","0.0"
"68","2017","5","Karnataka","Mandya","33.85","0.0","0.0","0.0","0.0","0.0","10.29","83.79","0.0","0.03","1.05","51.33","0.55","6.78","0.0","0.0","0.27","0.0","0.01","0.0","0.0","20.94","0.0","3.79","6.63","10.42","0.03","0.2","1.42"
"69","2017","5","Karnataka","Hassan","21.63","0.0","1.03","0.43","1.46","0.0","82.85","94.63","0.0","1.18","1.62","37.99","0.72","1.18","0.08","0.0","0.56","0.0","0.46","0.0","0.0","2.17","0.13","6.37","22.91","29.28","14.42","0.08","0.0"
"70","2017","5","Karnataka","Shimoge","93.52","0.0","0.1","0.05","0.14","0.01","71.21","1.05","0.0","0.04","0.49","0.74","0.26","0.0","0.0","0.0","0.0","0.0","0.22","0.0","0.0","1.27","1.25","11.09","0.3","11.4","0.0","0.0","0.05"
"71","2017","5","Karnataka","Chickmagalur","26.9","0.0","0.48","12.74","13.22","0.0","15.29","52.12","0.0","11.27","0.51","15.65","4.22","3.09","0.02","0.0","0.09","0.0","0.65","0.0","0.0","0.94","1.88","7.29","15.31","22.6","5.31","5.34","0.0"
"72","2017","5","Karnataka","Chitradurga","65.99","0.47","9.82","14.19","24.01","5.26","270.3","73.39","0.0","38.17","21.48","16.2","108.39","0.19","0.06","0.72","0.29","0.0","4.08","0.06","0.0","3.8","15.08","22.99","47.2","70.2","0.02","35.43","0.53"
"73","2017","5","Karnataka","Bellary","101.93","0.58","11.27","28.04","39.31","24.47","97.82","11.0","0.0","26.86","9.36","3.85","60.42","0.09","0.04","0.0","0.06","0.0","8.04","0.0","0.0","4.41","59.16","10.44","10.88","21.32","0.0","5.75","0.0"
"74","2017","5","Karnataka","Dharwad","52.59","54.57","4.94","165.03","169.98","2.17","251.61","0.19","0.0","237.58","5.47","113.23","78.4","0.24","0.04","11.35","0.03","0.09","36.59","36.39","0.0","22.51","148.05","18.37","58.21","76.59","1.09","45.26","0.15"
"75","2017","5","Karnataka","Belgaum","64.58","46.35","12.63","132.37","145.0","7.78","141.2","0.43","0.0","112.24","6.28","43.15","32.63","0.08","0.14","1.46","0.0","0.14","7.79","76.75","0.0","208.73","31.0","14.83","25.98","40.81","3.7","4.4","1.37"
"76","2017","5","Karnataka","Bijapur / Vijayapura","0.03","68.7","0.35","256.58","256.93","47.58","113.44","0.0","0.0","354.62","285.57","65.13","76.21","0.37","0.0","2.22","0.0","1.28","50.41","0.95","0.0","104.12","13.65","31.84","39.32","71.16","0.0","33.77","0.35"
"77","2017","5","Karnataka","Bidar","1.02","4.66","20.33","22.35","42.69","2.29","0.87","0.0","0.0","65.42","78.68","67.19","0.06","1.05","0.08","13.34","0.01","0.16","0.01","149.03","0.0","15.52","0.49","1.46","1.94","3.4","0.08","0.48","0.01"
"78","2017","5","Karnataka","Raichur","167.4","6.93","1.5","112.82","114.32","118.91","65.34","0.0","0.0","187.46","55.44","39.96","52.35","5.45","0.49","2.59","0.31","0.36","45.11","0.0","0.0","1.29","92.46","8.43","12.99","21.42","0.0","3.82","0.0"
"79","2017","5","Karnataka","Gulbarga / Kalaburagi","113.28","11.07","0.76","250.74","251.51","21.16","2.28","0.0","0.0","226.66","386.84","161.23","57.17","6.1","0.0","2.01","0.01","0.02","10.92","13.35","0.0","2.22","123.77","9.05","11.52","20.57","0.14","3.9","0.06"
"80","2017","5","Karnataka","Dakshina Kannada","80.26","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","4.18","1.77","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","63.73","3.59","67.32","0.0","0.0","0.04"
"81","2017","5","Karnataka","Uttara Kannada","62.87","0.0","0.0","0.0","0.0","0.0","9.87","0.0","0.0","0.0","0.0","1.87","1.68","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","1.21","9.95","0.16","10.12","0.0","0.03","0.03"
"82","2017","5","Karnataka","Kodagu / Coorg","27.17","0.0","0.0","0.0","0.0","0.0","3.56","0.0","0.0","0.0","0.0","0.01","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.43","0.3","7.73","0.01","0.0","0.0"
"83","2017","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","193.22","0.0","0.02","0.02","0.04","0.75","0.01","0.49","0.0","0.0","0.2","12.78","18.18","1.7","0.0","0.0","0.03","0.0","0.01","0.0","0.0","7.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"84","2017","11","Tamil Nadu","South Arcot / Cuddalore","294.85","0.0","1.37","0.26","1.62","34.28","37.72","2.44","0.0","0.0","0.23","145.84","47.14","9.3","0.0","0.0","0.02","0.0","0.08","0.0","0.0","68.39","19.37","0.0","0.0","0.0","0.0","0.23","0.0"
"85","2017","11","Tamil Nadu","North Arcot / Vellore","216.65","0.0","4.96","0.56","5.51","7.44","5.37","11.62","0.0","0.01","11.05","42.92","93.7","2.32","0.0","0.0","0.23","0.0","0.21","0.0","0.0","25.27","6.93","0.0","0.0","0.0","0.0","0.04","0.0"
"86","2017","11","Tamil Nadu","Salem","73.11","0.0","117.12","40.25","157.37","1.87","51.96","65.84","0.0","1.1","19.77","129.66","66.56","3.92","0.28","0.0","2.97","0.0","0.03","0.0","0.0","24.56","37.06","0.0","0.0","0.0","0.08","3.28","0.0"
"87","2017","11","Tamil Nadu","Coimbatore","90.17","0.0","27.66","18.94","46.59","0.41","18.09","0.02","0.0","2.54","0.78","19.18","18.26","1.95","0.0","0.0","0.04","0.0","0.03","0.0","0.0","4.48","0.93","0.0","0.0","0.0","0.0","2.04","0.0"
"88","2017","11","Tamil Nadu","Tiruchirapalli / Trichy","99.63","0.0","45.73","21.62","67.35","2.86","88.69","3.77","0.0","0.8","9.67","29.27","41.18","11.31","0.0","0.0","0.85","0.0","0.8","0.0","0.0","18.64","59.88","0.0","0.0","0.0","0.28","10.23","0.0"
"89","2017","11","Tamil Nadu","Thanjavur","520.25","0.0","2.71","3.66","6.37","0.15","10.17","1.76","0.0","0.37","0.51","208.36","20.11","6.28","0.0","0.0","0.11","0.0","0.01","0.0","0.0","8.54","7.66","0.0","0.0","0.0","0.13","0.61","0.0"
"90","2017","11","Tamil Nadu","Madurai","36.78","0.0","36.3","36.49","72.78","3.53","42.88","0.05","0.0","0.36","6.24","48.56","9.84","1.82","0.01","0.0","0.11","0.0","0.1","0.0","0.0","6.97","19.67","0.0","0.0","0.0","2.14","2.46","0.0"
"91","2017","11","Tamil Nadu","Ramananthapuram","217.34","0.0","5.18","11.77","16.95","1.99","24.82","0.47","0.0","0.01","0.75","15.47","11.18","2.14","0.0","0.0","0.01","0.0","2.09","0.0","0.0","5.03","20.03","0.0","0.0","0.0","0.0","1.03","0.0"
"92","2017","11","Tamil Nadu","Thirunelveli","77.0","0.0","0.32","10.72","11.04","9.75","44.82","0.05","0.0","0.01","0.03","117.88","1.18","0.85","0.0","0.0","0.0","0.0","3.38","0.0","0.0","2.57","10.09","0.0","0.0","0.0","0.0","2.89","0.0"
"93","2017","11","Tamil Nadu","The Nilgiris","0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.94","0.0","0.0"
"94","2017","11","Tamil Nadu","Kanyakumari","9.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.34","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"96","2017","7","Maharashtra","Thane","132.68","0.02","0.0","0.0","0.0","0.0","0.0","13.9","0.0","3.3","2.5","10.07","0.08","0.55","0.01","0.0","0.0","0.0","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
