Site Name,X-coordinate,Y-coordinate
Donich Water Hydro,221500.0,701500.0
Glen Fyne 'Merk' Hydro,209952.0,709286.0
Beinn Eagagach Hydro,288377.0,751719.0
Allt Garbh hydro,218018.0,822389.0
Carnoch Hydro,185300.0,760500.0
Kilmelfort,184035.0,714385.0
Dalchonzie,274035.0,721990.0
Lednock,276730.0,722040.0
Lubreoch,245310.0,741720.0
Loch Ericht,255340.0,772785.0
Lussa,164170.0,688680.0
Mullardoch Tunnel,222860.0,831415.0
Achanalt,225895.0,861615.0
Mucomir,218350.0,783900.0
Lairg,257505.0,906940.0
Cuaich,265640.0,787175.0
Innerwick Hydro,258577.0,747751.0
Allt Fionn - resubmission,233200.0,720700.0
Derrydarroch,212176.0,775418.0
Cia Aig Hydro,217196.0,788748.0
Ardtalnaig Hydro Scheme,268858.0,739100.0
Invervar Hydro,266469.0,748148.0
Bruar Hydro Scheme,282340.0,772772.0
Garbhaig Hydro Scheme,190263.0,871166.0
Chonais Hydro,204700.0,849300.0
Ardtornish Estate-Upgrade to existing,173510.0,746790.0
Maldie Burn,225150.0,934050.0
Black Rock,259900.0,866800.0
Ben Glas,232100.0,718600.0
Allt Ladaidh Hydro,222875.0,800386.0
Badachro hydro scheme,179040.0,871370.0
Chaorach Hydro,246250.0,725250.0
Grudie,196459.0,867347.0
Langwell Estate hydro scheme,218915.0,901914.0
Ghuilbinn Hydro Scheme,243130.0,780340.0
Nevis Range,220471.0,776708.0
Abhainn Gleann Nam Fiadh,230807.0,769237.0
Allt Cheanna Mhuir Hydro,210472.0,791397.0
Braevallich,196657.0,706909.0
Keltneyburn Hydro,277190.0,748690.0
Bellhouse Pit Landfill Scheme,594200.0,223400.0
Sandy Lane Landfill Scheme,555800.0,180700.0
Brazier Landfill Scheme,534100.0,214800.0
Lackford Landfill Scheme,580000.0,269300.0
Attlebridge Landfill Site,614800.0,316100.0
Aveley Landfill Scheme,555200.0,180700.0
Elstow Landfill Site,504800.0,246100.0
Ongar Landfill Scheme 2,556200.0,202300.0
Sundon Landfill Site,503800.0,228300.0
Aveley,555100.0,180700.0
Brogborough Phase III,497000.0,240200.0
Brogborough Phase IV,497000.0,240600.0
Ockendon Area III,560900.0,183200.0
Station Farm Landfill Scheme,521000.0,269300.0
Rainham Phase II,552400.0,179100.0
Masons Power Plant Landfill Scheme,611100.0,250100.0
Ockendon 'B' Landfill Scheme,560500.0,182000.0
L'Field Stewartby Landfill Site,501500.0,243300.0
Dogsthorpe South Landfill Site,520500.0,301900.0
Foxhall Landfill Site,623900.0,244000.0
Cotesbach Landfill Gas Project,453725.0,280820.0
Portley Ford Landfill Site,465900.0,277000.0
Glapwell,446200.0,367200.0
Colsterworth Landfill Gas Project,490500.0,324300.0
Bradgate Quarry Landfill Gas Scheme,451300.0,308600.0
Burntstump Landfill Scheme,458500.0,350000.0
Judkins Landfill Scheme,435200.0,292800.0
